,,
Duration,Date,Average
113,1/25/2019,5.9
92,2/1/2019,7.1
96,2/8/2019,9.1
95,2/15/2019,4.5
106,2/22/2019,5.5
97,3/1/2019,5.8
110,3/8/2019,4.1
142,3/15/2019,8.5
77,3/22/2019,9.0
96,3/29/2019,5.7
113,4/5/2019,6.1
101,4/12/2019,9.0
101,4/19/2019,5.7
181,4/26/2019,7.0
130,5/3/2019,7.1
106,5/10/2019,9.4
114,5/17/2019,8.2
103,5/31/2019,7.1
136,6/8/2019,6.4
102,6/21/2019,7.5
113,6/22/2019,5.9
117,7/4/2019,7.9
146,7/5/2019,7.5
97,7/12/2019,4.8
132,7/19/2019,7.2
100,7/21/2019,7.1
91,7/26/2019,7.3
161,7/27/2019,7.1
141,8/2/2019,6.6
130,8/3/2019,7.7
94,8/9/2019,7.7
65,8/9/2019,4.1
153,8/10/2019,7.2
137,8/16/2019,8.3
107,9/6/2019,5.0
89,9/7/2019,6.3
108,9/13/2019,7.5
97,9/14/2019,3.6
148,9/20/2019,4.7
138,9/21/2019,5.0
93,9/27/2019,7.9
106,9/28/2019,6.6
122,10/4/2019,8.7
122,10/6/2019,8.1
150,10/11/2019,7.9
97,10/12/2019,4.3
90,10/18/2019,4.1
141,10/20/2019,7.3
118,10/25/2019,6.8
104,10/26/2019,6.5
135,10/28/2019,8.9
178,11/1/2019,7.8
124,11/8/2019,5.6
148,11/9/2019,7.0
209,11/15/2019,8.4
138,11/16/2019,7.5
155,11/23/2019,8.8
80,11/24/2019,4.8
108,11/27/2019,7.8
110,11/29/2019,7.0
129,12/6/2019,6.9
117,12/7/2019,7.5
114,12/13/2019,7.0
134,12/20/2019,8.1
127,12/21/2019,7.1
122,12/24/2019,7.2
96,12/27/2019,3.6
106,12/28/2019,4.2
152,1/1/2020,7.7
132,1/3/2020,9.6
121,1/5/2020,5.4
113,1/10/2020,7.5
116,1/12/2020,6.9
107,1/17/2020,6.7
118,1/18/2020,7.3
107,1/19/2020,4.8
137,1/20/2020,7.1
130,1/24/2020,8.9
122,1/25/2020,4.1
97,2/1/2020,2.8
120,2/7/2020,7.5
135,2/14/2020,7.6
110,2/15/2020,7.2
88,2/21/2020,6.5
162,2/28/2020,5.0
100,2/29/2020,6.8
103,3/6/2020,7.9
109,3/13/2020,8.3
100,3/14/2020,7.9
111,3/20/2020,8.8
35,3/21/2020,5.3
147,3/29/2020,8.4
121,4/4/2020,8.4
119,4/10/2020,7.8
99,4/17/2020,8.6
121,4/25/2020,6.7
161,5/1/2020,7.6
164,5/8/2020,7.5
94,5/15/2020,5.3
175,5/22/2020,9.1
120,5/30/2020,7.4
88,5/31/2020,6.3
120,6/5/2020,6.8
99,6/6/2020,6.3
170,6/12/2020,7.0
94,6/13/2020,6.9
106,6/14/2020,6.0
159,6/19/2020,6.4
124,6/20/2020,7.1
102,6/26/2020,6.1
85,6/27/2020,6.6
102,7/2/2020,8.2
157,7/3/2020,7.6
120,7/4/2020,7.0
108,7/5/2020,7.3
188,7/10/2020,6.8
101,7/12/2020,7.0
105,7/17/2020,4.5
87,7/18/2020,4.6
99,7/20/2020,7.5
140,7/24/2020,7.6
90,7/25/2020,8.2
116,7/26/2020,6.0
86,7/31/2020,8.4
88,8/1/2020,5.0
202,8/7/2020,9.0
90,8/8/2020,5.3
89,8/14/2020,8.4
167,8/21/2020,6.6
108,8/22/2020,7.7
195,8/28/2020,8.5
161,8/29/2020,4.4
110,9/4/2020,7.0
99,9/5/2020,7.4
92,9/11/2020,7.7
141,9/12/2020,7.2
118,9/19/2020,7.3
106,9/25/2020,5.8
134,10/2/2020,5.4
111,10/3/2020,7.3
148,10/10/2020,7.0
147,10/16/2020,9.2
101,10/17/2020,5.9
101,10/23/2020,5.6
112,10/24/2020,6.2
84,10/30/2020,6.3
95,10/31/2020,7.4
81,11/6/2020,7.9
95,11/7/2020,7.6
87,11/14/2020,8.0
88,11/15/2020,8.1
118,11/20/2020,6.5
95,11/27/2020,7.9
108,12/4/2020,8.0
114,12/11/2020,6.5
150,12/18/2020,6.2
85,12/19/2020,7.6
81,12/26/2020,6.9
99,1/1/2021,3.1
90,1/1/2021,7.3
97,1/2/2021,7.5
136,1/8/2021,7.8
164,1/9/2021,6.6
133,1/15/2021,7.7
67,1/16/2021,2.8
130,1/22/2021,8.3
111,1/23/2021,4.6
120,1/29/2021,7.8
85,1/30/2021,6.6
84,1/30/2021,7.5
96,2/5/2021,6.8
115,2/6/2021,7.3
132,2/12/2021,7.5
95,2/13/2021,7.3
134,2/15/2021,7.1
131,2/19/2021,7.3
98,2/20/2021,3.9
60,2/21/2021,5.8
124,2/26/2021,7.1
106,2/27/2021,6.9
113,2/28/2021,8.4
116,3/5/2021,7.0
131,3/12/2021,7.5
107,3/14/2021,7.2
135,3/19/2021,7.0
84,3/20/2021,4.5
84,3/26/2021,7.4
93,3/27/2021,4.8
105,3/28/2021,5.1
55,4/2/2021,8.0
121,4/2/2021,7.7
121,4/3/2021,8.1
119,4/9/2021,8.6
82,4/10/2021,5.6
120,4/17/2021,7.5
84,4/17/2021,7.3
110,4/23/2021,6.5
113,4/30/2021,6.8
96,5/1/2021,6.9
121,5/7/2021,8.1
96,5/14/2021,6.4
124,5/21/2021,8.3
129,5/28/2021,6.8
103,5/29/2021,7.0
116,5/30/2021,8.3
89,5/2/2021,7.0
165,6/4/2021,7.5
112,6/5/2021,4.0
111,6/13/2021,4.1
120,6/18/2021,7.7
85,6/19/2021,5.2
94,6/23/2021,7.2
124,6/25/2021,7.2
185,7/1/2021,6.6
,,
,,
,,
